,Shipment Date,Matching Fields,Consignee,Consignee Full Address,Consignee Email 1,Consignee Phone 1,Consignee Website 1,Consignee Profile,Consignee Trade Roles,Shipper,Shipper Full Address,Shipper Email 1,Shipper Phone 1,Shipper Website 1,Shipper Profile,Shipper Trade Roles,Notify Party,HS Code,Goods Shipped,Volume (TEU),Gross Weight (kg),is_weapon
10,2018-12-29,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,22 CRATE BOW SHUTTER KINEMATICS,1.88,3962.0,True
11,2018-10-13,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,1 CRATE BOWS SHUTTERS KINEMATICS TUNNEL WLT 3,0.51,105.0,True
12,2018-10-08,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,16 CRATE BOW SHUTTER KINEMATICS,0.64,1365.0,True
13,2018-10-08,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,6 CRATE BOW SHUTTER KINEMATICS,1.2,2554.0,True
14,2018-05-26,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE   SIGNALS DECOYS AND FLARES LAUNCHER,0.13,414.0,True
15,2018-05-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.21,417.0,True
16,2018-05-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.21,415.0,True
17,2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,"1 CRATE KRTU (SMB2-KTRU-DB1,05)",1.97,7215.0,True
18,2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,"1 CRATE KRTU (SMB2-KTRU-DB1,04)",1.96,7180.0,True
19,2018-01-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,"3 CRATE KRTU (SMB2-KTRU-DB1,03)",6.0,23360.0,True
20,2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE CINEMATIC FW TLT,0.67,1474.0,True
21,2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE CINEMATIC FW TLT,0.97,2127.0,True
22,2017-09-07,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,2 CRATE CINEMATIC FW TLT,0.72,1592.0,True
23,2017-08-15,HS Code (4-digit): 9301,Comando Da Aeronautica,"Av. Brasil, Rio de Janeiro - RJ, Brazil",,,,https://panjiva.com/Comando-Da-Aeronautica/87841762,,Rosoboron Exp.,Russia,,,,https://panjiva.com/Rosoboron-Exp/44260353,Trading Company,COMANDO DA AERONAUTICA,93012000,1X20 SHIPPERS OWN CONTAINER STC:92 PCS ROCKETS WITH INERT HEAD,1.0,8583.0,True
24,2017-08-06,HS Code (4-digit): 9301,Craft Multimodal Ltda,"Av. das Nações Unidas, 12551 - 24 ANDAR CJ 2402 - Cidade Monções, São Paulo - SP, 04578-000, Brazil",,,,https://panjiva.com/Craft-Multimodal-Ltda/38528680,Logistics,Globelink International Forwarders,Thailand,,,,https://panjiva.com/Globelink-International-Forwarders/36043333,Logistics,CRAFT MULTIMODAL,93010000,3 PLYWOOD CASES WITH FUEL INJECTION PUMP TEST BENCH,0.96,3000.0,True
25,2017-04-27,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Sterling Continental Services Ltd.,United Kingdom,,,,https://panjiva.com/Sterling-Continental-Services-Ltd/36080953,,COMANDO DA MARINHA,93010000,4 CRATE SIGNALS DECOYS AND FLARES LAUNCHER,0.08,427.0,True
26,2016-10-19,HS Code (4-digit): 9301,Dhl Global Forwarding,R QUINZE DE NOVEMBRO 119 TERREO MZNINO ANDAR2 E 3 CENTRO - SANTOS - SP - 11010150,,,,https://panjiva.com/Dhl-Global-Forwarding/39718926,Logistics,Dhl Global Forwarding,"Yeongdeungpo-gu, Seoul, South Korea",,,,https://panjiva.com/Dhl-Global-Forwarding/87842425,Logistics,DHL GLOBAL FORWARDING,93010000,1 SKID SLAC: 3 PIECES WIPER MOTOR TEST CONTROLLERS,0.02,204.0,True
28,2015-11-05,HS Code (4-digit): 9301,Panalpina,"Praça da República, 87 - ANDAR 9 CONJ 91 - Centro, Santos - SP, 11013-010, Brazil",,,,https://panjiva.com/Panalpina/36078133,Logistics,Panalpina,"25 de Agosto 91, Salto 50000, Uruguay",,,,https://panjiva.com/Panalpina/36051837,,PANALPINA,93010000,1 CRATE (ISPM-15) SLAC: MANUFACTURING MACHINERY OGP OPTICAL GAGING PRODUCTS - OPTICAL COMPARATOR,0.38,374.0,True
33,2014-08-18,HS Code (4-digit): 9301,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Brazilian Naval Commission,United States,,,,https://panjiva.com/Brazilian-Naval-Commission/36070939,,COMANDO DA MARINHA,93010000,"8 PALLET FIREARMS, SHIP SPARES",1.0,1025.0,True
0,2021-12-04,HS Code (4-digit): 9302,Connecta Importacao & Exportacao Ltda,"R. Antônio Manoel Moreira, 70 - ANDAR 2 SALA 201 - Fazenda, Itajaí - SC, 88301-640, Brazil",,,,https://panjiva.com/Connecta-Importacao-Exportacao-Ltda/60395768,"Trading Company, Wholesale",Acd Cargo,United States,,,,https://panjiva.com/Acd-Cargo/118370295,Logistics,CONNECTA IMPORTACAO & EXPORTACAO LTDA,93020000,1 X 20 CONTAINERS CONTAINING 6 PALLET OF FIREARMS - PISTOLS UNLOADED FIREARMS - RIFLES UNLOADED,1.0,1185.0,True
4,2021-09-06,HS Code (4-digit): 9302,Ascensus Comercio Exterior Ltda,R DONA FRANCISCA 6750 TORRE 1 ANDAR 2 ZONA INDUSTRIAL NORT - JOINVILLE - SC - 89219530,,,,https://panjiva.com/Ascensus-Comercio-Exterior-Ltda/67786525,,Hs Produkt Doo,UL MIRKA BOGOVICA 7 - KARLOVAC - - 0,,,,https://panjiva.com/Hs-Produkt-Doo/111930639,,ASCENSUS COMERCIO EXTERIOR LTDA,93020000,1 X 20 CONTAINERS CONTAINING 300 BOXES OF PISTOLS,1.0,4328.0,True
16,2020-07-03,HS Code (4-digit): 9302,South Cargo Sa,"Av. Engenheiro Luís Carlos Berrini, 1500 - Itaim Bibi, São Paulo - SP, Brazil",,,,https://panjiva.com/South-Cargo-SA/46481448,Logistics,Pgs Logistics,Hong Kong,,,,https://panjiva.com/Pgs-Logistics/87843987,Logistics,SOUTH CARGO SA,93020000,3 PALLET OF COMPACT PEAR AXLE MODULE,0.06,674.0,True
25,2019-08-12,HS Code (4-digit): 9302,Asia Shipping,"R. Alexandre Herculano, 197 - ANDAR 13 SALA - Gonzaga, Santos - SP, 11050-030, Brazil",,,,https://panjiva.com/Asia-Shipping/71208250,Logistics,"Benkel Int Pte., Ltd.","165 Bukit Merah Central, Singapore 150165",,,,https://panjiva.com/Benkel-Int-Pte-Ltd/48505146,,ASIA SHIPPING,93020000,1 X 40 CONTAINERS CONTAINING 2 PALLET OF FREOCOM FCR,0.21,630.0,True
34,2018-12-18,HS Code (4-digit): 9302,Panalpina,"Praça Antônio Teles, 12 - ANDAR 12 CONJ 101 - Centro, Santos - SP, 11013-000, Brazil",,,,https://panjiva.com/Panalpina/41674521,Logistics,Panalpina,"25 de Agosto 91, Salto 50000, Uruguay",,,,https://panjiva.com/Panalpina/36051837,,PANALPINA,93020000,16 PALLETS  DIE CASTING HOUSING,1.0,3104.0,True
43,2018-01-15,HS Code (4-digit): 9302,Msl Corporate,"Edifício Mercosul - R. da Consolação, 382 - 1 ANDAR - Consolação, São Paulo - SP, 01302-908, Brazil",,,,https://panjiva.com/Msl-Corporate/36032524,,Central Shipping Agency Sp A,"Via Guicciardini, 24O, 70014 Conversano Bari, Italy",,,,https://panjiva.com/Central-Shipping-Agency-SpA/35927419,Logistics,MSL CORPORATE,93020000,1 WOODEN PALLET EVERY CONTROL - SONDA DE TEMPERATURA,0.04,274.0,True
52,2017-06-25,HS Code (4-digit): 9302,Msl Corporate,"Edifício Mercosul - R. da Consolação, 382 - 1 ANDAR - Consolação, São Paulo - SP, 01302-908, Brazil",,,,https://panjiva.com/Msl-Corporate/36032524,,Central Shipping Agency Sp A,"Via Guicciardini, 24O, 70014 Conversano Bari, Italy",,,,https://panjiva.com/Central-Shipping-Agency-SpA/35927419,Logistics,MSL CORPORATE,93020000,1 WOODEN PALLET EVERY CONTROL-SONDA DE TEMPERATURA,0.09,421.0,True
55,2017-04-21,HS Code (4-digit): 9302,Whirlpool Sa,"Av. das Nações Unidas, São Paulo - SP, 04578-000, Brazil",cavallari@multibras.com.br,+55 11 3566 1120,,https://panjiva.com/Whirlpool-SA/35447992,,Shipco Transport,Malaysia,,,,https://panjiva.com/Shipco-Transport/36046083,Logistics,ALLINK TRANSPORTES INTERNACIONAIS LTDA,93020000,"3 PIECES PALLETS SLAC REFRIGERATOR THERMOSTATS,",0.17,922.0,True
58,2017-02-14,HS Code (4-digit): 9302,Setbus Solucoes Automotivas Ltda,"R. Irmão Gildo Schiavo, 32 - São Cristovao, Caxias do Sul - RS, 95058-510, Brazil",,,,https://panjiva.com/Setbus-Solucoes-Automotivas-Ltda/30491534,Manufacturer,Shipco Transport,Malaysia,,,,https://panjiva.com/Shipco-Transport/36046083,Logistics,ALLINK TRANSPORTES INTERNACIONAIS LTDA,93020000,1 PIECES PALLET SLAC 35 CARTONS (1750 PIECES) 77.5 ELECTRICAL PARTS PRESSURE SWITCH,0.01,80.0,True
64,2016-06-05,HS Code (4-digit): 9302,Kuehne & Nagel,"Av. das Nações Unidas, 13797 - Alto de Pinheiros, São Paulo - SP, 04794-000, Brazil",,,,https://panjiva.com/Kuehne-Nagel/30813344,Logistics,Kuehne & Nagel,"Ranero Auzoa, 22A, 48891 Karrantza Harana, Biscay, Spain",,,,https://panjiva.com/Kuehne-Nagel/44904583,"Manufacturer, Logistics",KUEHNE & NAGEL,93020000,3 PLTS BUTT HINGE,0.21,2477.0,True
73,2015-03-07,HS Code (4-digit): 9302,Forjas Taurus Sa,"Avenida do Forte, 511 - Vila Ipiranga, Porto Alegre - RS, 91360-001, Brazil",,+55 51 3021 3000,,https://panjiva.com/Forjas-Taurus-SA/4882132,Manufacturer,Amazon Freight Forwarders,"R. Dr. Freire Alemão, 765 - Mont'Serrat, Porto Alegre - RS, 90450-060, Brazil",,+55 51 3315 6677,,https://panjiva.com/Amazon-Freight-Forwarders/36039243,Logistics,FORJAS TAURUS SA,93020000,02 X20ST CONTAINER CONTAINING:84 BOXES CONTAINING PISTOLS R.E. 14/1733263-001,1.0,4906.0,True
76,2014-11-27,HS Code (4-digit): 9302,Glock Do Brasil Sa,"Condomínio Ed Palma de Ouro - Alameda Lorena, 965 - Jardim Paulista, São Paulo - SP, 01424-902, Brazil",,,,https://panjiva.com/Glock-Do-Brasil-SA/36018823,,Glockengiesserwall,Germany,,,,https://panjiva.com/Glockengiesserwall/36081320,,GLOCK DO BRASIL SA,93020000,600 PACKAGE PISTOLS HS CODE: 93020000,2.0,8773.0,True
82,2014-09-12,HS Code (4-digit): 9302,Faurecia Sistemas De Escapamento Do Brasil Ltda,"Av. Nossa Sra. do Bom Sucesso, 3344 - Lot. Alfredo Abilio Flores, Pindamonhangaba - SP, 12421-010, Brazil",,,,https://panjiva.com/Faurecia-Sistemas-De-Escapamento-Do-Brasil-Ltda/36023972,Manufacturer,Dhl Danzas Air & Ocean,Slovakia,,,,https://panjiva.com/Dhl-Danzas-Air-Ocean/44915044,Logistics,DHL DANZAS AIR & OCEAN,93020000,3 PALLET BOX PLASTIC RAW MATERIAL,0.02,178.0,True
0,2021-11-06,HS Code (4-digit): 9303,Volkswagen Do Brasil Ind De Veiculos Automotores Ltda,"R. Antonio Singer, 6751 - Miringuava, São José dos Pinhais - PR, Brazil",,+55 41 3380 6000,,https://panjiva.com/Volkswagen-Do-Brasil-Ind-De-Veiculos-Automotores-Ltda/32718316,Manufacturer,Interteam S.A. De C.V.,Mexico,,,,https://panjiva.com/Interteam-S-A-De-C-V/87848854,,ALLINK LOGISTIC GROUP,93033000,1 X 40 CONTAINERS CONTAINING 1 PACKAGES OF AUTOMOTIVE PARTS,0.05,190.0,True
2,2021-08-26,HS Code (4-digit): 9303,Head Sul Ltda,"R. Pedro Ferreira, 155 - SALA 1802 A - Centro, Itajaí - SC, 88301-030, Brazil",,+55 47 3045 3840,,https://panjiva.com/Head-Sul-Ltda/36031611,,Simtex International Ltd.,"9 Goodwood Rd, Eastleigh SO50 4NT, UK",,,,https://panjiva.com/Simtex-International-Ltd/42513600,,HEAD SUL LTDA,93032000,1 X 40 CONTAINERS CONTAINING 15 PALLET OF SPORTING SHOTGUNS,2.0,6488.0,True
5,2021-07-16,HS Code (4-digit): 9303,Polibalbino Industria Comercio & Representacao De Termoplasticos Ltda,"R. Onze de Junho, 189 - Fazenda, Itajaí - SC, 88301-660, Brazil",,,,https://panjiva.com/Polibalbino-Industria-Comercio-Representacao-De-Termoplasticos-Ltda/72851379,,Birdview International Ltd.,"Jiantan Station, No. 65號, Section 5, Zhongshan N Rd, Shilin District, Taipei City, Taiwan 111",,,,https://panjiva.com/Birdview-International-Ltd/106984417,,IMPERA AUX COMERCIO INTERNACIONAL LTDA,93033000,2 X 20 CONTAINERS CONTAINING 32 PALLET OF ABS RESIN PELLETS 750SW,2.0,32800.0,True
6,2021-07-10,HS Code (4-digit): 9303,Cg Vale Solucoes Integradas De Logistica Ltd.,"R. Comendador Remo Cesaroni, 162 - S13 - Vila Ema, São José dos Campos - SP, 12243-020, Brazil",,,,https://panjiva.com/Cg-Vale-Solucoes-Integradas-De-Logistica-Ltd/39981982,Logistics,Gft Lojistik Ve Dis Ticaret Ltd.,Turkey,,,,https://panjiva.com/Gft-Lojistik-Ve-Dis-Ticaret-Ltd/108474494,Manufacturer,CG VALE SOLUCOES INTEGRADAS DE LOGISTICA LTD,93032000,1 X 20 CONTAINERS CONTAINING 70 BOXES OF HUNTING SHOTGUNS,1.0,1480.0,True
10,2021-03-21,HS Code (4-digit): 9303,Jas Forwarding Worldwide,"R. Fidêncio Ramos, 223 - 5 ANDAR - Vila Olímpia, São Paulo - SP, 04551-010, Brazil",,,,https://panjiva.com/Jas-Forwarding-Worldwide/36373760,Logistics,Jas Forwarding Gmb H,BLDG,,,,https://panjiva.com/Jas-Forwarding-GmbH/87848372,Logistics,JAS FORWARDING,93033000,1 CASE OF TARGET EQUIPMENT,0.03,218.0,True
11,2021-02-03,HS Code (4-digit): 9303,Replast Industria E Comercio Ltda,DIST IND G LUIZ CAVALCANTI S N AV B Q 5 M 7 E 8 TAB DO MARTINS - MACEIO - AL - 0,,,,https://panjiva.com/Replast-Industria-E-Comercio-Ltda/36197379,Manufacturer,Styrochem Canada Ltd.,Canada,,,,https://panjiva.com/Styrochem-Canada-Ltd/41374991,,ELEMAR GROUP,93031000,"2 X 40 CONTAINERS CONTAINING 40 IBCS OF LINERUN2211 POLYMERICBEADS, EXPANDABLECLASS 9 PG III",4.0,40145.0,True
12,2020-10-14,HS Code (4-digit): 9303,Craft Multimodal Ltda,"Av. das Nações Unidas, 12551 - 24 ANDAR CJ 2402 - Cidade Monções, São Paulo - SP, 04578-000, Brazil",,,,https://panjiva.com/Craft-Multimodal-Ltda/38528680,Logistics,Carotrans International Inc.,CTC LASHUNDA KORNEGAY EMAIL LASHUNDAK CAROTRANS.COM,,,,https://panjiva.com/Carotrans-International-Inc/87849759,,CRAFT MULTIMODAL,93030000,1 X 20 & 1 X 40 CONTAINERS CONTAINING 200 CARTONS OF SHOTGUN RIFLES M930 28 VR NON BEAD SYN CHK SET MATTE M930 TACTICAL JM PRO SERIES M930 TACTICAL VR JM PRO SERIES CBC ENGR 28VR PRTD FO BEAD SHADOW GRASS BLADES,3.0,5405.0,True
13,2020-10-14,HS Code (4-digit): 9303,Craft Multimodal Ltda,"Av. das Nações Unidas, 12551 - 24 ANDAR CJ 2402 - Cidade Monções, São Paulo - SP, 04578-000, Brazil",,,,https://panjiva.com/Craft-Multimodal-Ltda/38528680,Logistics,Carotrans International Inc.,CTC LASHUNDA KORNEGAY EMAIL LASHUNDAK CAROTRANS.COM,,,,https://panjiva.com/Carotrans-International-Inc/87849759,,CRAFT MULTIMODAL,93030000,1 X 40 CONTAINERS CONTAINING 122 CARTONS OF SYNTHETIC STOCK THREAD BARREL PATRIOT HUNTING RIFLE ADJUSTABLE TRIGGER LBA FLUTED BBL SPIRAL FLUTED BOLT WEAVER-STYLE BASE BOX MAGAZINE,2.0,2961.0,True
16,2019-12-04,HS Code (4-digit): 9303,Easy Solution Logistica Ltda,"R. Antônio Manoel Moreira, 70 - ANDAR 4 - Fazenda, Itajaí - SC, 88301-640, Brazil",,,,https://panjiva.com/Easy-Solution-Logistica-Ltda/66601055,Logistics,Yeditepe Tasimacilik,Turkey,,,,https://panjiva.com/Yeditepe-Tasimacilik/63438740,Logistics,EASY SOLUTION LOGISTICA LTDA,93032000,1 X 20 CONTAINERS CONTAINING 100 BOXES OF SEMI AUTOMATIC SHOTGUN,1.0,3384.0,True
17,2019-11-13,HS Code (4-digit): 9303,Easy Solution Logistica Ltda,"R. Antônio Manoel Moreira, 70 - ANDAR 4 - Fazenda, Itajaí - SC, 88301-640, Brazil",,,,https://panjiva.com/Easy-Solution-Logistica-Ltda/66601055,Logistics,Yeditepe Tasimacilik,Turkey,,,,https://panjiva.com/Yeditepe-Tasimacilik/63438740,Logistics,ES BRASIL LOGISTICA LTDA,93032000,1 X 20 CONTAINERS CONTAINING 125 BOXES OF SEMI AUTOMATIC SHOTGUN,1.0,3545.0,True
20,2019-07-07,HS Code (4-digit): 9303,Comando Da Marinha,"Av. Brasil, 10500 - Guadalupe, Rio de Janeiro - RJ, 21660-000, Brazil",,,,https://panjiva.com/Comando-Da-Marinha/39584344,,Naval Group Sa,"42 Rue du Dr Finlay, 75015 Paris-15E-Arrondissement, France",,,,https://panjiva.com/Naval-Group-SA/46736013,,COMANDO DA MARINHA,93030000,1 X 20 CONTAINERS CONTAINING 4 CRATES OF FLARES,1.0,158.0,True
